source	site	% U	V
0	971theriver.com*	3.5668885184454E-06	31295
0	975thefanatic.com*	1.5232914895098E-05	162845
0	981kissfm.com*	4.47581164661046E-06	40515
0	987fm.com*	1.01565483085435E-05	89220
0	987theriver.com*	1.18821735324747E-06	10262
0	989therock.com*	1.0694745517593E-05	103399
0	98rock.com*	9.69070711635472E-06	84927
0	995themountain.com*	2.15805109196984E-06	19994
0	99covers.com*	6.67832879985109E-06	74606
0	99u.com*	2.12696431599859E-05	214187
0	9laughs.com*	9.35536986730381E-06	94557
0	9to5chic.com*	8.81283129724262E-06	86154
0	9to5forums.com*	8.59589480305473E-07	7062
0	9to5google.com*	1.32458871157081E-05	135182
0	9to5mac.com*	0.0002093959	2672318
0	9to5toys.com*	1.87967776164747E-05	218054
0	9wows.com*	1.17058879641232E-06	10801
0	9wsyr.com*	0.0001515565	1992978
0	a1express.com*	1.27912282170341E-06	12392
0	a4cwsn.com*	0.00000066	6395
0	a5oc.com*	3.31351090303855E-06	36592
0	aapa.org*	1.12175506285104E-05	122238
0	aarons.com*	8.1553913724066E-05	853259
0	abarim-publications.com*	2.12568821897395E-06	18641
0	abay.com*	3.37994688215613E-06	31644
0	abc15.com*	0.0001745599	2125507
0	abc17news.com*	2.47264189764087E-05	253325
0	abc2news.com*	5.27296446218484E-05	474856
0	abc4.com*	2.798086105841E-05	250223
0	abc-7.com*	1.03496730953645E-05	100740
0	abcactionnews.com*	7.52742007989204E-05	825590
0	abccarpets.com*	5.5766755540479E-07	5520
0	abc-free-machine-embroidery-designs.com*	7.59738177037665E-07	7606
0	abchao.com*	2.607842404055E-06	26542
0	abcnewspapers.com*	6.31510159521022E-06	62661
0	abcnewsradioonline.com*	6.06817024312369E-06	61998
0	abcsofattraction.com*	6.09895443938808E-07	5219
0	abcstlouis.com*	9.64308370162093E-07	8020
0	abeautifulruckus.com*	1.03626971783994E-06	8837
0	abesmarket.com*	1.61784107008763E-05	166573
0	abetterstay.com*	9.83515603728759E-07	9734
0	abm.jobs*	2.26829535038674E-06	19307
0	abnormalreturns.com*	6.84435296944789E-06	69337
0	aboututila.com*	6.33707151305702E-07	6085
0	abovethecrowd.com*	0.000000945	8222
0	abovethelaw.com*	0.0001235036	1407677
0	abovetopsecret.com*	1.17545638300113E-06	10141
0	abqtalk.com*	6.388378506831E-07	6217
0	absoluteanime.com*	4.50133358710316E-06	38877
0	absolutorrent.com*	5.64903157090863E-07	5494
0	abundancetapestry.com*	1.39383999752624E-06	11837
0	abundantharvestorganics.com*	1.48171966891345E-06	17653
0	acaciaenergy.com*	1.50079534608583E-06	14360
0	academiabarilla.com*	0.000001023	9763
0	academicroom.com*	2.02688936686048E-06	17196
0	accessamericatransport.com*	3.41323064991207E-06	33659
0	accessatlanta.com*	0.0002029707	1837852
0	accessexcellence.org*	4.59342306310772E-06	41183
0	accessmylibrary.com*	9.7418825537344E-06	78812
0	access-programmers.co.uk*	3.01669336623641E-05	305924
0	accessvegas.com*	1.81376800810706E-06	16475
0	accidentin.com*	3.50416242964686E-05	328631
0	acclaimimages.com*	6.72910956804789E-06	55993
0	ace.com*	4.70024685527302E-06	37917
0	ace.edu*	5.7884813488584E-06	66389
0	acertabletforum.com*	1.70589176478743E-06	16294
0	achunlimited.net*	2.67677795466413E-06	21997
0	acidcow.com*	0.000084563	778542
0	acmehowto.com*	3.55741645805636E-06	33066
0	acmepackingcompany.com*	2.65300571421552E-05	268318
0	aconcordcarpenter.com*	1.81442579007852E-06	17072
0	acparadise.com*	5.6833677898189E-06	76977
0	acrostics.org*	2.58468847865956E-06	60991
0	acscatalog.com*	7.32242890630588E-07	7500
0	actionagainsthunger.org*	1.60393555921094E-06	15360
0	actionext.com*	2.38274941342098E-06	18591
0	actionfigurepics.com*	2.81385971751664E-06	29351
0	actionnewsjax.com*	4.24569320171448E-05	375717
0	activedayton.com*	4.34254501919243E-06	35119
0	activediner.com*	4.77089263900795E-06	41472
0	activitypad.com*	0.000000949	9863
0	acton.org*	2.03228317902646E-06	19060
0	acus.org*	1.83350146725089E-06	17463
0	adage.com*	0.0001212764	1236029
0	adamcooperf1.com*	7.79603192575793E-07	6757
0	adblade.com*	0.0037599524	35652626
0	adclassix.com*	1.08073577911072E-06	10154
0	adcrun.ch*	6.02607219695018E-06	56893
0	addforums.com*	2.53471020446794E-05	240191
0	addictedtoquack.com*	0.000009303	96223
0	addictedtoradio.com*	2.4433969111897E-06	25295
0	addictinginfo.org*	0.0002419784	2089825
0	addictionblog.org*	8.76731278481751E-06	70944
0	address.com*	1.207358808617E-05	97302
0	adirondack.net*	6.9255232647262E-06	68467
0	adirondackjournal.com*	4.77549711280818E-07	5036
0	adoperationsonline.com*	1.92519627407258E-06	17683
0	adrianbulldogs.com*	1.8537611519719E-06	16378
0	adtactics.com*	1.55578591889998E-06	21314
0	adulttravelforum.com*	1.11757156951254E-06	13071
0	advancedanime.com*	9.96802799552275E-07	13484
0	advancedaquarist.com*	5.79124403313854E-06	52183
0	advancedfictionwriting.com*	2.79807295020157E-06	26025
0	advancedstyle.blogspot.com*	3.9261690312575E-06	38487
0	advancelegaljobs.com*	7.20271258749994E-07	8769
0	advantagesupplements.com*	1.72523055474838E-06	15221
0	adventuresindressmaking.com*	3.64476990386641E-06	31955
0	adventuresinpoortaste.com*	1.26623029506277E-05	99689
0	adverblog.com*	1.46185465337533E-06	14719
0	advicefromatwentysomething.com*	3.90683024129654E-06	34748
0	advisorperspectives.com*	1.66683267132206E-05	186190
0	advocate.com*	0.0001588775	1431907
0	adweek.com*	0.0001196482	1327685
0	ae911truth.org*	2.74887085873628E-06	27697
0	aecom.jobs*	6.40679640203191E-07	5164
0	aetna.jobs*	1.94071992859907E-06	16220
0	aetrex.com*	2.55258871845226E-06	21659
0	aetv.com*	0.0004075846	3572834
0	afa.net*	1.67367360382526E-05	169806
0	afar.com*	0.000010068	101342
0	afcea.org*	6.11671455261753E-06	65868
0	affairrecovery.com*	1.52447549705843E-06	16598
0	affordablehousingonline.com*	0.000003436	31951
0	afghan123.com*	6.81725235222369E-07	7530
0	afriboyz.com*	1.71944207339953E-06	16524
0	africa.com*	4.30672221302665E-05	373813
0	africam.com*	0.000008353	111474
0	africasacountry.com*	0.000001789	15847
0	afterdawn.com*	5.98013270406333E-05	553714
0	afterhoursprogramming.com*	9.49179384818486E-07	11123
0	afterld.com*	4.78062781218558E-06	94508
0	afullcup.com*	2.95092832472972E-05	286317
0	a-ga-ming.com*	5.87267744120543E-07	6000
0	agencyequity.com*	1.68878943352943E-06	20193
0	aggiesports.com*	1.18544151332791E-05	107569
0	agora-gallery.com*	1.41462590782441E-06	14815
0	agoraquest.com*	2.18436237082829E-06	19154
0	agweb.com*	0.000083522	1111900
0	agweek.com*	3.29377744389472E-06	27011
0	ahkong.net*	1.1080995091235E-06	9591
0	ahsfhs.org*	2.46326192672783E-06	31027
0	aicr.org*	0.000009233	92408
0	aidamollenkamp.com*	2.50720176242144E-06	21690
0	aidpage.com*	1.97518770390363E-05	170432
0	aidsmeds.com*	5.14043455057484E-06	46625
0	aikenstandard.com*	1.648256908448E-05	166085
0	aiminglow.com*	1.27320278396026E-06	10849
0	aimjunkies.com*	1.09691721560866E-06	11954
0	aionarmory.com*	6.20643601352483E-06	65355
0	aionsource.com*	4.54237918212233E-06	40570
0	aircraftsalesworld.com*	2.1960708899203E-06	19606
0	airforums.com*	1.38695959810476E-05	158563
0	airfreetires.com*	5.4240701366689E-07	5831
0	airgunone.com*	0.000000881	10682
0	airingnews.com*	1.12388627643857E-06	10154
0	airlockalpha.com*	1.87875686688742E-06	17142
0	airnation.net*	2.69059137606482E-06	24833
0	airportguide.com*	9.67334167230814E-07	8447
0	airsoftsociety.com*	0.000009563	102295
0	airspacemag.com*	0.000010785	107180
0	airstreamclassifieds.com*	6.96670041613967E-06	73951
0	aish.com*	4.00814182054099E-05	357564
0	aisquared.com*	1.31885285277967E-06	12522
0	ajc.com*	0.0008925794	10701524
0	ajokeaday.com*	4.05443651569243E-06	33980
0	ajr.org*	1.35292595890135E-06	11406
0	ak-47.us*	1.44080563028857E-06	11683
0	akc.org*	0.0001553057	1593105
0	akdart.com*	1.04021640966871E-06	8570
0	akorra.com*	1.84626243749724E-06	14793
0	akronbrass.com*	1.83376458003948E-06	21998
0	al.com*	0.0007084585	7751078
0	alamogordonews.com*	0.000009745	81316
0	alan.com*	4.60079022118809E-06	48701
0	albany.com*	0.000004361	35629
0	albertenergy.com*	1.45974975106665E-06	12247
0	albion-swords.com*	1.35713576351871E-06	14569
0	albumoftheyear.org*	5.78821823606981E-06	60358
0	alcademics.com*	2.67335748841253E-06	22126
0	alcatrazcruises.com*	1.40798230991266E-05	179270
0	aleida.net*	1.155591367463E-06	10726
0	alephblog.com*	1.48421924040501E-06	13190
0	alexandersantiques.com*	0.000001302	17147
0	algebra.com*	0.0001405266	1370397
0	alhloghomes.com*	5.04781884899311E-07	5508
0	alibi.com*	5.9493748190778E-06	58115
0	alice1059.com*	5.79269115347575E-06	59662
0	alice955.com*	9.89172528683326E-07	8394
0	alienwarearena.com*	0.000065272	994751
0	alilang.com*	4.253218227468E-07	5780
0	alistapart.com*	1.64448123993181E-05	155201
0	aljtmedia.com*	1.74075420927487E-06	19639
0	allaboutdance.com*	0.000007558	64988
0	allaboutjazz.com*	0.000006448	57532
0	allaccess.com*	4.14276347882024E-05	495467
0	allafrica.com*	4.83256627665215E-05	500386
0	allareacolleges.com*	6.359567656481E-06	68074
0	all-art.org*	3.17840248610043E-06	25147
0	allbootdisks.com*	2.14147498628902E-06	21234
0	allbreedpedigree.com*	2.37167236502158E-05	289569
0	allbuffs.com*	4.6445985004874E-06	100700
0	allendesigners.com*	6.14105248556159E-07	6645
0	alleydog.com*	7.48858463229697E-06	68168
0	alleyesonwho.com*	1.22518470004359E-06	12641
0	allfreeessays.com*	9.83910272911636E-06	79668
0	allgame.com*	1.4890342044361E-05	130912
0	allgovwarrants.com*	1.08626114767099E-06	8481
0	allhiphopmodels.com*	5.82663270320315E-07	6566
0	allied-media.com*	5.85425954600452E-07	5181
0	alliednews.com*	7.82628989644514E-07	6187
0	alliekatzgraphics.com*	4.26111161112553E-07	5685
0	alligatorarmy.com*	0.00000628	57420
0	alligatorworld.com*	1.04587333462327E-06	11956
0	alljewishlinks.com*	5.81742375560269E-07	5277
0	allkidsnetwork.com*	1.12563597648266E-05	116833
0	alllacqueredup.com*	0.000006386	58057
0	alllooksame.com*	7.80787200124423E-07	7962
0	allmenus.com*	8.11051748631352E-05	555537
0	allmodern.com*	9.81843521957305E-05	863823
0	allnurses.com*	0.0002205722	2113961
0	allofcraigs.com*	6.11579365785748E-06	57650
0	allonlinedegrees.com*	5.39118103809585E-06	44346
0	alloutdoor.com*	1.03258613879976E-05	83666
0	alloy.com*	2.38643299246116E-05	197815
0	allpeoplequilt.com*	2.05727889394199E-06	18566
0	allpoetry.com*	4.11745202855841E-06	124318
0	allrovi.com*	7.80260974547254E-07	8083
0	allsmalldogbreeds.com*	6.28339650418579E-06	50940
0	allstarpics.net*	3.06358006516216E-05	246953
0	allstarsportsgames.com*	1.05823963568675E-06	10180
0	allstitch.net*	3.84868231501937E-06	41583
0	alltechtips.net*	5.59898751851986E-05	487009
0	alltechtricks.com*	0.000001334	10742
